PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;6;28079004_6_48;2024;11;11;0.5;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.7;V;0.6;V;0.5;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;12;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.5;V;0.5;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2024;11;13;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;N;0;N;0;N;0;N;0;N;0.4;N;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V
28;079;4;6;28079004_6_48;2024;11;14;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;0.5;V;0.4;V;0.3;V;0.3;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;15;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.3;V
28;079;4;6;28079004_6_48;2024;11;16;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2024;11;17;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.8;V;0.8;V;0.8;V;0.5;V;0.6;V;0.7;V
28;079;4;6;28079004_6_48;2024;11;18;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.7;V;0.6;V;0.6;V;0.6;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.7;V;0.8;V;0.7;V;0.6;V
28;079;4;6;28079004_6_48;2024;11;19;0.6;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;0.7;V;0.5;V;0.7;V;0.5;V;0.4;V;0.4;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;20;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;21;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;22;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.5;V;0.7;V;0.6;V;0.5;V
28;079;4;6;28079004_6_48;2024;11;23;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.4;V;0.4;V;0.4;V;0.5;V;0.6;V;0.7;V;0.6;V;0.7;V;0.6;V
28;079;4;6;28079004_6_48;2024;11;24;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.3;V;0.2;V
28;079;4;6;28079004_6_48;2024;11;25;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V
28;079;4;6;28079004_6_48;2024;11;26;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.6;N;0;N;0;N;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.8;V;0.7;V;0.5;V;0.4;V;0.4;V
28;079;4;6;28079004_6_48;2024;11;27;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.7;V;0.8;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.7;V;0.9;V;1.1;V;0.8;V;0.8;V;0.7;V
28;079;4;6;28079004_6_48;2024;11;28;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.7;V;0.9;V;0.7;V;0.7;V;0.6;V;0.4;V;0.3;V;0.3;V;0.3;V;0.5;V;0.7;V;0.9;V;1.1;V;0.7;V;0.6;V;0.6;V
28;079;4;6;28079004_6_48;2024;11;29;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.4;V;0.4;V;0.5;V;0.7;V;0.9;V;0.6;V;0.6;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.8;V;1.2;V;1.1;V;0.9;V;0.7;V;0.7;V
28;079;4;6;28079004_6_48;2024;11;30;0.6;V;0.6;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.7;V;1.1;V;1;V;0.7;V;0.6;V
28;079;4;7;28079004_7_8;2024;11;01;34;V;3;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;5;V;6;V;6;V;4;V;4;V;3;V;3;V;2;V;2;V;3;V;29;V;17;V;19;V;9;V
28;079;4;7;28079004_7_8;2024;11;02;9;V;12;V;11;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;4;V;6;V;6;V;4;V;4;V;4;V;2;V;2;V;3;V;3;V;4;V;4;V;9;V
28;079;4;7;28079004_7_8;2024;11;03;8;V;10;V;13;V;5;V;2;V;2;V;2;V;2;V;2;V;4;V;5;V;3;V;4;V;3;V;4;V;3;V;2;V;2;V;3;V;2;V;20;V;53;V;15;V;11;V
28;079;4;7;28079004_7_8;2024;11;04;14;V;12;V;5;V;3;V;2;V;1;V;2;V;10;V;13;V;13;V;7;V;8;V;6;V;6;V;4;V;3;V;3;V;2;V;4;V;8;V;37;V;44;V;24;V;13;V
28;079;4;7;28079004_7_8;2024;11;05;6;V;7;V;2;V;9;V;4;V;9;V;17;V;31;V;108;V;108;V;89;V;49;N;14;V;11;V;8;V;2;V;1;V;1;V;1;V;21;V;49;V;64;V;55;V;23;V
28;079;4;7;28079004_7_8;2024;11;06;12;V;25;V;24;V;10;V;4;V;9;V;19;V;39;V;84;V;73;V;13;V;7;V;8;V;6;V;5;V;3;V;2;V;2;V;8;V;62;V;82;V;43;V;28;V;31;V
28;079;4;7;28079004_7_8;2024;11;07;29;V;36;V;16;V;4;V;5;V;4;V;20;V;65;V;93;V;107;V;27;V;6;V;6;V;5;V;4;V;4;V;2;V;1;V;2;V;20;V;27;V;67;V;58;V;33;V
28;079;4;7;28079004_7_8;2024;11;08;23;V;25;V;29;V;17;V;12;V;13;V;17;V;11;V;3;V;4;V;6;V;3;V;6;V;6;V;6;V;6;V;9;V;5;V;10;V;41;V;80;V;46;V;40;V;56;V
28;079;4;7;28079004_7_8;2024;11;09;45;V;49;V;38;V;34;V;33;V;30;V;32;V;42;V;57;V;31;V;22;V;20;V;29;V;31;V;20;V;12;V;6;V;3;V;1;V;3;V;5;V;34;V;67;V;49;V
28;079;4;7;28079004_7_8;2024;11;10;32;V;17;V;24;V;6;V;8;V;9;V;12;V;10;V;22;V;25;V;21;V;14;V;7;V;3;V;2;V;2;V;2;V;2;V;6;V;24;V;32;V;59;V;28;V;32;V
28;079;4;7;28079004_7_8;2024;11;11;26;V;24;V;19;V;18;V;6;V;5;V;20;V;57;V;104;V;83;V;40;V;10;V;7;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;7;28079004_7_8;2024;11;12;1;V;1;V;1;V;1;V;1;V;1;V;4;V;27;V;51;V;62;V;20;V;6;V;6;V;7;V;4;V;4;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V
28;079;4;7;28079004_7_8;2024;11;13;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;N;0;N;0;N;0;N;2;N;3;V;4;V;4;V;3;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V
28;079;4;7;28079004_7_8;2024;11;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;6;V;8;V;7;V;10;V;7;V;6;V;5;V;3;V;2;V;4;V;10;V;12;V;4;V;1;V;1;V;1;V
28;079;4;7;28079004_7_8;2024;11;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;6;V;6;V;7;V;5;V;6;V;3;V;2;V;2;V;2;V;2;V;1;V;2;V;3;V;7;V;4;V;1;V
28;079;4;7;28079004_7_8;2024;11;16;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;4;V;4;V;6;V;7;V;8;V;4;V;2;V;2;V;1;V;2;V;6;V;37;V;19;V;14;V;22;V
28;079;4;7;28079004_7_8;2024;11;17;23;V;18;V;15;V;9;V;8;V;5;V;6;V;7;V;20;V;19;V;27;V;11;V;9;V;13;V;13;V;14;V;14;V;20;V;58;V;70;V;68;V;16;V;37;V;59;V
28;079;4;7;28079004_7_8;2024;11;18;28;V;25;V;21;V;11;V;21;V;17;V;29;V;51;V;83;V;63;V;79;V;62;V;31;V;20;V;18;V;9;V;7;V;10;V;15;V;17;V;81;V;80;V;49;V;49;V
28;079;4;7;28079004_7_8;2024;11;19;49;V;33;V;19;V;19;V;11;V;10;V;14;V;70;V;83;V;60;V;76;V;65;V;43;V;43;V;21;V;8;V;7;V;9;V;2;V;5;V;3;V;3;V;2;V;1;V
28;079;4;7;28079004_7_8;2024;11;20;1;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;12;V;6;V;7;V;13;V;9;V;10;V;11;N;8;V;10;V;8;V;4;V;6;V;6;V;4;V;4;V;4;V
28;079;4;7;28079004_7_8;2024;11;21;4;V;2;V;2;V;1;V;1;V;1;V;2;V;4;V;3;V;5;V;4;V;5;V;5;V;5;V;4;V;4;V;2;V;3;V;3;V;4;V;3;V;2;V;2;V;1;V
28;079;4;7;28079004_7_8;2024;11;22;1;V;2;V;3;V;1;V;1;V;1;V;1;V;2;V;6;V;5;V;8;V;7;V;10;V;6;V;6;V;5;V;3;V;4;V;4;V;8;V;16;V;76;V;55;V;36;V
28;079;4;7;28079004_7_8;2024;11;23;4;V;7;V;4;V;2;V;2;V;2;V;2;V;2;V;8;V;16;V;21;V;22;V;25;V;14;V;12;V;11;V;4;V;4;V;8;V;10;V;10;V;8;V;53;V;33;V
28;079;4;7;28079004_7_8;2024;11;24;7;V;7;V;9;V;6;V;3;V;2;V;2;V;2;V;2;V;4;V;4;V;6;V;7;V;8;V;7;V;6;V;6;V;9;V;11;V;9;V;23;V;15;V;3;V;2;V
28;079;4;7;28079004_7_8;2024;11;25;2;V;2;V;1;V;1;V;2;V;1;V;2;V;7;V;6;V;4;V;5;V;4;V;3;V;6;V;4;V;3;V;5;V;5;V;3;V;5;V;5;V;12;V;18;V;20;V
28;079;4;7;28079004_7_8;2024;11;26;26;V;22;V;32;V;21;V;12;V;11;V;13;V;44;V;50;V;44;V;68;N;54;N;25;V;27;V;27;V;19;V;13;V;14;V;19;V;75;V;82;V;44;V;24;V;20;V
28;079;4;7;28079004_7_8;2024;11;27;15;V;25;V;17;V;10;V;9;V;9;V;22;V;63;V;112;V;120;V;93;V;69;V;30;V;21;V;20;V;15;V;11;V;38;V;43;V;77;V;117;V;83;V;71;V;63;V
28;079;4;7;28079004_7_8;2024;11;28;46;V;30;V;30;V;22;V;19;V;16;V;29;V;65;V;104;V;138;V;101;V;91;V;64;V;27;V;8;V;10;V;9;V;20;V;44;V;93;V;138;V;86;V;53;V;53;V
28;079;4;7;28079004_7_8;2024;11;29;38;V;47;V;26;V;19;V;24;V;19;V;32;V;60;V;59;V;97;V;123;V;56;V;46;V;30;V;25;V;24;V;18;V;18;V;69;V;139;V;145;V;109;V;84;V;68;V
28;079;4;7;28079004_7_8;2024;11;30;59;V;56;V;44;V;40;V;30;V;29;V;36;V;34;V;54;V;76;V;62;V;64;V;42;V;25;V;14;V;16;V;14;V;7;V;9;V;57;V;118;V;125;V;74;V;54;V
28;079;4;8;28079004_8_8;2024;11;01;49;V;35;V;20;V;18;V;10;V;12;V;14;V;13;V;12;V;13;V;17;V;15;V;12;V;9;V;8;V;8;V;13;V;15;V;28;V;41;V;49;V;40;V;37;V;33;V
28;079;4;8;28079004_8_8;2024;11;02;33;V;33;V;18;V;7;V;3;V;3;V;4;V;6;V;8;V;7;V;8;V;7;V;8;V;13;V;10;V;11;V;12;V;17;V;16;V;20;V;23;V;30;V;24;V;24;V
28;079;4;8;28079004_8_8;2024;11;03;25;V;24;V;22;V;18;V;10;V;8;V;11;V;12;V;14;V;11;V;15;V;10;V;9;V;7;V;11;V;10;V;7;V;12;V;17;V;32;V;52;V;52;V;42;V;25;V
28;079;4;8;28079004_8_8;2024;11;04;35;V;28;V;19;V;16;V;8;V;8;V;13;V;29;V;40;V;34;V;22;V;25;V;19;V;16;V;12;V;13;V;17;V;19;V;26;V;28;V;56;V;53;V;43;V;35;V
28;079;4;8;28079004_8_8;2024;11;05;26;V;30;V;18;V;24;V;21;V;17;V;17;V;20;V;28;V;30;V;38;V;41;N;36;V;40;V;41;V;28;V;23;V;29;V;41;V;74;V;78;V;72;V;54;V;45;V
28;079;4;8;28079004_8_8;2024;11;06;41;V;32;V;24;V;14;V;18;V;16;V;15;V;22;V;32;V;35;V;24;V;19;V;25;V;27;V;24;V;21;V;20;V;30;V;59;V;85;V;74;V;64;V;56;V;47;V
28;079;4;8;28079004_8_8;2024;11;07;41;V;32;V;27;V;19;V;15;V;14;V;17;V;29;V;40;V;43;V;35;V;21;V;22;V;21;V;21;V;21;V;20;V;23;V;40;V;63;V;78;V;69;V;48;V;39;V
28;079;4;8;28079004_8_8;2024;11;08;32;V;30;V;23;V;21;V;19;V;16;V;24;V;40;V;29;V;31;V;36;V;25;V;31;V;29;V;33;V;35;V;38;V;45;V;59;V;63;V;53;V;44;V;40;V;36;V
28;079;4;8;28079004_8_8;2024;11;09;32;V;26;V;21;V;17;V;15;V;14;V;17;V;27;V;31;V;26;V;28;V;28;V;37;V;53;V;45;V;45;V;42;V;51;V;36;V;51;V;61;V;77;V;72;V;61;V
28;079;4;8;28079004_8_8;2024;11;10;44;V;38;V;38;V;29;V;24;V;20;V;20;V;21;V;22;V;20;V;25;V;29;V;22;V;23;V;19;V;19;V;21;V;36;V;48;V;65;V;62;V;60;V;39;V;49;V
28;079;4;8;28079004_8_8;2024;11;11;42;V;34;V;31;V;27;V;20;V;17;V;21;V;26;V;35;V;39;V;45;V;26;V;19;V;10;V;8;V;10;V;10;V;18;V;32;V;36;V;24;V;12;V;8;V;10;V
28;079;4;8;28079004_8_8;2024;11;12;10;V;11;V;5;V;5;V;4;V;8;V;24;V;36;V;37;V;39;V;25;V;16;V;17;V;22;V;22;V;22;V;13;V;16;V;17;V;19;V;20;V;18;V;16;V;18;V
28;079;4;8;28079004_8_8;2024;11;13;12;V;16;V;5;V;4;V;2;V;3;V;6;V;13;N;0;N;0;N;0;N;17;N;23;V;27;V;24;V;17;V;17;V;19;V;22;V;20;V;23;V;21;V;19;V;16;V
28;079;4;8;28079004_8_8;2024;11;14;11;V;12;V;9;V;6;V;5;V;7;V;9;V;24;V;37;V;35;V;30;V;26;V;27;V;26;V;23;V;25;V;28;V;46;V;59;V;63;V;47;V;24;V;16;V;15;V
28;079;4;8;28079004_8_8;2024;11;15;12;V;9;V;8;V;7;V;7;V;7;V;15;V;29;V;49;V;44;V;35;V;26;V;21;V;24;V;21;V;23;V;20;V;28;V;24;V;26;V;32;V;34;V;29;V;19;V
28;079;4;8;28079004_8_8;2024;11;16;15;V;13;V;11;V;12;V;13;V;14;V;23;V;22;V;27;V;29;V;21;V;21;V;22;V;25;V;24;V;20;V;19;V;22;V;34;V;42;V;68;V;60;V;56;V;43;V
28;079;4;8;28079004_8_8;2024;11;17;41;V;35;V;27;V;22;V;18;V;14;V;16;V;19;V;19;V;20;V;26;V;24;V;24;V;34;V;38;V;48;V;46;V;57;V;78;V;73;V;75;V;65;V;56;V;45;V
28;079;4;8;28079004_8_8;2024;11;18;40;V;29;V;30;V;34;V;26;V;20;V;19;V;28;V;41;V;35;V;45;V;51;V;48;V;43;V;43;V;33;V;31;V;49;V;67;V;68;V;70;V;58;V;50;V;46;V
28;079;4;8;28079004_8_8;2024;11;19;33;V;25;V;22;V;15;V;13;V;15;V;17;V;25;V;30;V;34;V;41;V;49;V;46;V;47;V;31;V;20;V;23;V;28;V;24;V;29;V;19;V;20;V;15;V;7;V
28;079;4;8;28079004_8_8;2024;11;20;8;V;7;V;5;V;3;V;3;V;5;V;12;V;25;V;36;V;24;V;21;V;27;V;19;V;25;V;28;N;24;V;34;V;47;V;48;V;53;V;32;V;23;V;17;V;15;V
28;079;4;8;28079004_8_8;2024;11;21;13;V;10;V;13;V;12;V;13;V;7;V;13;V;29;V;20;V;18;V;12;V;10;V;11;V;10;V;9;V;8;V;6;V;10;V;12;V;16;V;20;V;17;V;9;V;7;V
28;079;4;8;28079004_8_8;2024;11;22;5;V;4;V;4;V;3;V;4;V;3;V;5;V;13;V;26;V;26;V;25;V;25;V;30;V;17;V;16;V;15;V;11;V;29;V;45;V;57;V;79;V;86;V;79;V;63;V
28;079;4;8;28079004_8_8;2024;11;23;49;V;45;V;37;V;30;V;26;V;28;V;25;V;22;V;29;V;35;V;39;V;38;V;38;V;39;V;43;V;37;V;32;V;35;V;55;V;64;V;64;V;55;V;60;V;49;V
28;079;4;8;28079004_8_8;2024;11;24;41;V;39;V;40;V;30;V;20;V;15;V;13;V;18;V;23;V;20;V;14;V;16;V;16;V;24;V;32;V;36;V;43;V;50;V;53;V;56;V;69;V;56;V;23;V;20;V
28;079;4;8;28079004_8_8;2024;11;25;15;V;12;V;7;V;6;V;7;V;14;V;26;V;47;V;45;V;25;V;22;V;23;V;19;V;26;V;23;V;14;V;24;V;36;V;45;V;50;V;45;V;46;V;71;V;63;V
28;079;4;8;28079004_8_8;2024;11;26;63;V;44;V;38;V;36;V;30;V;25;V;22;V;34;V;41;V;45;V;53;N;61;N;49;V;59;V;59;V;57;V;60;V;72;V;75;V;77;V;69;V;56;V;41;V;35;V
28;079;4;8;28079004_8_8;2024;11;27;31;V;28;V;20;V;18;V;15;V;16;V;20;V;36;V;49;V;52;V;51;V;58;V;51;V;51;V;52;V;51;V;60;V;89;V;100;V;101;V;90;V;76;V;63;V;53;V
28;079;4;8;28079004_8_8;2024;11;28;44;V;39;V;33;V;28;V;23;V;19;V;23;V;34;V;49;V;58;V;56;V;70;V;72;V;54;V;27;V;41;V;49;V;71;V;98;V;104;V;97;V;72;V;57;V;48;V
28;079;4;8;28079004_8_8;2024;11;29;40;V;37;V;29;V;27;V;24;V;24;V;25;V;38;V;49;V;56;V;63;V;55;V;63;V;63;V;63;V;69;V;70;V;82;V;97;V;111;V;98;V;80;V;66;V;53;V
28;079;4;8;28079004_8_8;2024;11;30;45;V;37;V;29;V;25;V;22;V;19;V;18;V;17;V;27;V;33;V;32;V;44;V;49;V;47;V;40;V;50;V;57;V;59;V;71;V;87;V;93;V;74;V;53;V;40;V
28;079;4;12;28079004_12_8;2024;11;01;100;V;40;V;21;V;20;V;11;V;14;V;17;V;16;V;15;V;17;V;25;V;24;V;22;V;16;V;14;V;13;V;17;V;17;V;31;V;45;V;93;V;65;V;66;V;47;V
28;079;4;12;28079004_12_8;2024;11;02;47;V;51;V;35;V;8;V;5;V;5;V;7;V;8;V;10;V;11;V;12;V;14;V;17;V;23;V;16;V;18;V;18;V;21;V;19;V;24;V;28;V;36;V;29;V;37;V
28;079;4;12;28079004_12_8;2024;11;03;37;V;40;V;42;V;27;V;12;V;11;V;14;V;15;V;17;V;16;V;23;V;15;V;15;V;12;V;16;V;14;V;10;V;14;V;21;V;36;V;83;V;134;V;65;V;42;V
28;079;4;12;28079004_12_8;2024;11;04;56;V;46;V;26;V;21;V;10;V;10;V;16;V;45;V;59;V;54;V;33;V;37;V;28;V;25;V;17;V;18;V;22;V;21;V;32;V;41;V;113;V;121;V;80;V;54;V
28;079;4;12;28079004_12_8;2024;11;05;36;V;41;V;22;V;38;V;28;V;30;V;44;V;67;V;194;V;196;V;175;V;116;N;58;V;58;V;52;V;32;V;25;V;30;V;43;V;106;V;152;V;169;V;138;V;80;V
28;079;4;12;28079004_12_8;2024;11;06;58;V;70;V;60;V;29;V;25;V;30;V;44;V;82;V;162;V;146;V;45;V;29;V;37;V;37;V;31;V;26;V;23;V;32;V;71;V;180;V;200;V;129;V;98;V;95;V
28;079;4;12;28079004_12_8;2024;11;07;86;V;87;V;52;V;25;V;23;V;20;V;47;V;129;V;183;V;207;V;77;V;29;V;32;V;29;V;27;V;26;V;23;V;25;V;42;V;94;V;120;V;171;V;138;V;90;V
28;079;4;12;28079004_12_8;2024;11;08;67;V;69;V;68;V;47;V;37;V;37;V;49;V;57;V;33;V;36;V;45;V;30;V;41;V;38;V;43;V;44;V;51;V;53;V;74;V;126;V;175;V;114;V;100;V;122;V
28;079;4;12;28079004_12_8;2024;11;09;101;V;101;V;79;V;68;V;65;V;60;V;66;V;91;V;119;V;74;V;61;V;59;V;82;V;101;V;75;V;64;V;52;V;56;V;38;V;55;V;69;V;129;V;175;V;136;V
28;079;4;12;28079004_12_8;2024;11;10;93;V;63;V;75;V;39;V;37;V;34;V;38;V;36;V;56;V;59;V;57;V;51;V;33;V;28;V;22;V;21;V;24;V;40;V;58;V;102;V;111;V;151;V;83;V;98;V
28;079;4;12;28079004_12_8;2024;11;11;82;V;72;V;61;V;54;V;29;V;26;V;51;V;113;V;195;V;167;V;106;V;40;V;30;V;14;V;10;V;12;V;12;V;20;V;33;V;38;V;26;V;13;V;10;V;12;V
28;079;4;12;28079004_12_8;2024;11;12;12;V;13;V;6;V;7;V;6;V;9;V;30;V;77;V;115;V;133;V;56;V;25;V;26;V;33;V;28;V;28;V;15;V;17;V;19;V;22;V;22;V;20;V;18;V;19;V
